被	LB
什么	DT
好看	VA
的	SP
啊	SP
？	PU
叫	VV
我	PN
不	AD
要去	VV
学校	NN
都	AD
对	P
她	PN
很	AD
关心	VV
…	PU
小声	AD
一点	CD
，	PU
小雨	NN
在	P
听	VV
音乐	NN
我	PN
跟	P
你	PN
说	VV
个	M
秘密	NN
喔	SP
我	PN
刚刚	AD
去	VV
练	VV
琴啊	NN
我	PN
如果	CS
没听	VV
音乐	NN
斗琴	VV
啊	SP
，	PU
你	PN
不	AD
知道	VV
啊	SP
？	PU
吃	VV
大蒜	NN
就	AD
放屁	VV
早啊	NR
谢啦	NR
我	PN
还	AD
以为	VV
有	VE
人	NN
在吗	VV
？	PU
这	PN
什么	PN
？	PU
这	PN
是	VC
她	PN
最	AD
喜欢	VV
的	DEC
一	CD
首	M
歌	NN
来	VV
，	PU
一	CD
，	PU
二	CD
，	PU
三	CD
，	PU
笑	VV
！	PU
早安	VA
原来	AD
他	PN
和	CC
我	PN
同一	NN
间	LC
教室	NN
你	PN
跟	P
我	PN
跳	VV
一	CD
只	M
舞	NN
，	PU
我	PN
告诉	VV
你	PN
好不好	NN
？	PU
雪糕	NN
学长	NN
那	AD
你	PN
要	VV
不	AD
要	VV
学	VV
，	PU
你	PN
要	VV
不	AD
要	VV
学	VV
从	P
我	PN
这边	PN
到	VV
你	PN
那边	PN
，	PU
一共五步	VV
来来来	NR
…	PU
还是	CC
大婶	NN
厉害	VA
完成	VV
他们	PN
求学	VV
的	DEC
这个	DT
阶段	NN
不要	AD
碰	VV
小雨	NN
的	DEC
东西	NN
！	PU
好	VA
你	PN
可	VV
一	CD
个	M
音	NN
都	AD
别	AD
错	VA
啊	SP
不过	AD
在	P
我们	PN
毕业	VV
典礼	NN
的	DEC
那	DT
一	CD
天	M
可以	VV
帮我	VV
签	VV
在	P
琴谱	NN
上	LC
吗	SP
？	PU
怎么	AD
可能	VV
少	AD
来	VV
，	PU
交女	VV
朋友	NN
了	AS
对	VA
不	AD
对	VA
？	PU
你	PN
是	VC
不	AD
是	VC
有	VE
心事	NN
？	PU
爸	NN
，	PU
你	PN
是	VC
跳	VV
完	VV
了	AS
没	VE
啊	SP
？	PU
我	PN
怎么	AD
会	VV
知道	VV
？	PU
我们	PN
没有	AD
鲍鱼	VV
干嘛	VV
啦	SP
，	PU
生气	VV
喔	SP
？	PU
跟随	VV
著	AS
音符	NN
踏上	VV
旅程	NN
不要	AD
在	P
旧	JJ
琴房	NN
弹	VV
这	DT
首	M
曲子	NN
喔	SP
她	PN
的	DEG
钢琴	NN
弹	VV
的	DER
非常	AD
好	VA
，	PU
而且	AD
他们	PN
是	VC
你	PN
朋友	NN
喔	SP
？	PU
那	AD
就是	AD
萧邦	VV
哈啰	NR
，	PU
叶湘伦	NR
！	PU
还	AD
蛮	AD
好听	VA
的	SP
确定	VV
？	PU
门没锁	NN
，	PU
自己	PN
进来	VV
吧	SP
你	PN
知道	VV
这里	PN
快	AD
拆了	VV
？	PU
你	PN
今天	NT
早上	NT
怎么	AD
没	AD
上课	VV
啊	SP
？	PU
还是	AD
一样	VA
？	PU
他	PN
的	DEG
背影	NN
我	PN
永远	AD
也	AD
不	AD
会	VV
忘记	VV
我	PN
喜欢	VV
你	PN
功课	NN
好	VA
，	PU
有	VE
什么	DT
了不起	NN
啊	SP
？	PU
你	PN
去	VV
哪	PN
？	PU
就是	AD
有人	PN
喜欢	VV
这样	VA
那	AD
你	PN
喜欢	VV
哪个	DT
音乐家	NN
？	PU
实在	AD
是	VC
勇气	NN
可嘉	VV
啊	SP
小雨	NN
，	PU
妈	NN
应该	VV
要	VV
相信	VV
你的	NN
他	PN
很	AD
可爱	VA
吧	SP
那	AD
你	PN
下课	VV
可以	VV
顺路	AD
载	VV
我	PN
回家	VV
吗	SP
？	PU
你们	PN
这些	DT
学生	NN
，	PU
真的	AD
是	VC
…	PU
怎么	AD
啦	SP
？	PU
从头到尾	AD
不	AD
就	AD
你	PN
自己	PN
一	CD
个	M
人	NN
在	AD
跳	VV
？	PU
开	VV
玩笑	NN
的	DEC
啊	SP
到了	P
？	PU
你	PN
看	VV
那个	PN
，	PU
你	PN
看看	VV
那个	DT
上课	NN
也	AD
不	AD
专心	VV
这	PN
是	VC
不	AD
能	VV
说	VV
的	DEC
秘密	NN
啊	SP
下	DT
礼拜	NN
记得	VV
看	VV
我们	PN
打球	VV
喔	SP
，	PU
拜	VV
还	AD
骗	VV
你	PN
的	DEG
咧	NN
，	PU
我	PN
好多	CD
了	SP
啦	SP
你	PN
是	VC
音乐班	NN
的	DEG
学生	NN
，	PU
会	VV
常常	AD
来	VV
喔	SP
你	PN
好像	AD
很	AD
喜欢	VV
来	VV
这里	PN
？	PU
他	PN
已经	AD
在	P
一	CD
个	M
公开	JJ
的	DEG
演奏会	NN
上面	NN
哇	IJ
~	PU
好	JJ
帅喔	NN
，	PU
拜拜	NN
很	AD
好	VA
，	PU
请坐	VV
哪里	PN
啊	SP
？	PU
今天	NT
看	VV
起来	VV
春风	NN
满	VV
面	NN
喔	SP
今天	NT
是	VC
学校	NN
的	DEG
毕业	NN
典礼	NN
喔	IJ
，	PU
对喔	VV
，	PU
菜	NN
我	PN
忘了	VV
屁啦	NN
！	PU
可是	AD
在	P
八	CD
岁	M
的	DEC
时候	NN
你	PN
怎么	AD
啦	SP
？	PU
好啊	VA
你们	PN
班	NN
的	DEG
啊	SP
没关系	VV
，	PU
被	SB
我	PN
家人	NN
看到	VV
不	AD
太	AD
好	VA
都	AD
拿	VV
清寒	NN
奖学金	NN
啊	SP
？	PU
上次	AD
真的	AD
很	AD
不好意思	VA
可以	VV
，	PU
还有	CC
一	CD
件	M
事情	NN
上课啰	NR
你	PN
昨天	NT
琴弹	VV
的	DEC
不错	JJ
嘛	SP
主要	AD
是	VC
父母	NN
要	VV
配合	VV
我们	PN
出去	VV
吃	VV
，	PU
好不好	NN
？	PU
吓	VV
到了	P
赶快	AD
！	PU
那	PN
是	VC
因为	P
我	PN
的	DEG
青春	NN
都	AD
奉献给	VV
橄榄球	NN
男子汉	NN
用	P
笑	VV
就	AD
能	VV
电到妳	NR
我	PN
没有	AD
男朋友	NN
小雨	NN
，	PU
小雨	NN
！	PU
没有	VE
人	NN
喜欢	VV
我	PN
啰	VA
那	AD
你	PN
呢	SP
？	PU
找谁	VV
啊	SP
？	PU
睁开	VV
我	PN
的	DEG
眯眯	VA
的	DEC
眼睛	NN
是	VC
气喘	NN
，	PU
休息	VV
一下	AD
就	AD
没	VE
事	NN
了	SP
老师	NN
，	PU
我	PN
决定	VV
不	AD
回去	VV
找	VV
他	PN
了	SP
真的	VA
吗	SP
？	PU
所以	AD
是	VC
苹果啰	NN
？	PU
生活	NN
像是	VV
软趴趴	NN
的	DEC
风景	NN
神经	NN
？	PU
不舒服	JJ
就	AD
吃药	VV
吧	SP
，	PU
妈	NN
把	BA
药	NN
放	VV
这里	PN
他们	PN
抽烟	VV
！	PU
不是	CC
大婶	NN
送	VV
了	AS
一	CD
大	JJ
堆	M
苹果	NN
没关系	VV
，	PU
迟早	AD
我	PN
会	VV
知道	VV
的	SP
我们	PN
大家	PN
给	P
他	PN
一点	CD
掌声	NN
好不好	NN
？	PU
喂	IJ
！	PU
啊	IJ
，	PU
好久	AD
没	AD
抽	VV
啦	SP
开心	VA
点	AD
！	PU
她	PN
是	VC
一	CD
个	M
很	AD
有	VE
才华	NN
的	DEC
学生	NN
今天	NT
天气	NN
好好	AD
因为	P
旧琴弹	NR
起来	VV
不	AD
好听	VA
啊	SP
这里	PN
我	PN
也	AD
数过	VV
我	PN
说	VV
你	PN
头发	NN
明天	NT
还	AD
不	AD
剪	VV
小心	VA
，	PU
老师	NN
是	VC
个	M
色狼	NN
就	AD
当	P
我	PN
没	AD
看到	VV
，	PU
好好	AD
练琴	VV
对	VA
要	VV
什么	PN
没	VE
什么	DT
帮	VV
你们	PN
班	NN
大扫除	VV
啊	SP
！	PU
不可能	JJ
男子汉	NN
就	AD
是	VC
我	PN
脑袋	NN
不要	AD
胡思乱想	VV
，	PU
做人	VV
要	VV
规规矩矩	AD
你	PN
是	VC
主修	VV
钢琴	NN
对吧	NN
？	PU
到底	AD
什么	DT
对	P
气管	NN
好啦	VA
？	PU
你	PN
在	AD
干	VV
什么	PN
？	PU
你	PN
没事	VV
吗	SP
？	PU
你	PN
那	DT
天	M
斗琴	NN
对啊	NN
世界	NN
是	VC
安逸	JJ
的	DEG
摇篮曲	NN
没	VE
关系	NN
没	VE
关系	NN
，	PU
改天	AD
跟	P
你	PN
爹算	VV
算	VV
你	PN
一	CD
份	M
，	PU
怎样	VV
？	PU
我	PN
没有	AD
男朋友	NN
晴依	VV
，	PU
你	PN
可以	VV
吗	SP
？	PU
冲啊	VV
！	PU
检查	VV
过	AS
八百	CD
遍	M
了	SP
！	PU
没事	VV
啊	SP
没关系	VV
啦	SP
，	PU
过去	NT
就	AD
算了	VV
好	VA
我	PN
叫	VV
叶湘伦	NR
好	VA
早	AD
就	AD
退学	VV
啦	SP
，	PU
不	AD
读	VV
啦	SP
十九	OD
世纪	NN
的	DEC
时候	NN
你	PN
走	VV
，	PU
走吧	NN
从头到尾	AD
不	AD
就	AD
你	PN
自己	PN
一	CD
个	M
人	NN
在	AD
跳	VV
？	PU
用	P
热血	JJ
灌溉	NN
我	PN
的	DEG
兄弟	NN
问啊	VV
，	PU
怎样	VV
？	PU
你	PN
不	AD
要	VV
骗	VV
我	PN
喔	SP
第一	OD
眼	NN
就	AD
决定	VV
了	AS
缘分	NN
来	VV
！	PU
你	PN
没有	AD
话	VV
要	VV
跟	P
我	PN
说	VV
吗	SP
？	PU
不好意思	AD
，	PU
我	PN
想	VV
问	VV
一下	AD
…	PU
她	PN
为什么	AD
不	AD
来	VV
上课	VV
啊	SP
？	PU
你	PN
今天	NT
没有	VE
骑车	VV
吗	SP
？	PU
没关系	VV
啊	SP
，	PU
我	PN
送	VV
你	PN
啊	SP
他们	PN
在	P
干嘛	VV
呢	SP
？	PU
告诉	VV
老爸	NN
，	PU
好不好	NN
？	PU
你	PN
干嘛	AD
都	AD
不	AD
说话	VV
啊	SP
？	PU
下	DT
次	M
你	PN
如果	CS
没有	VE
舞伴	NN
，	PU
可以	VV
找	VV
我	PN
啊	SP
今天	NT
天气	NN
好好	AD
你	PN
是	VC
班长	NN
我们	PN
会	VV
继续	VV
的	DEV
…	PU
同学	NN
、	PU
老师	NN
真的	VA
嘛	SP
！	PU
我	PN
也	AD
送	VV
你	PN
一	CD
首	M
曲子	NN
你	PN
才	AD
刚	AD
做好	VV
菜	NN
？	PU
就	AD
像	P
刚刚	NN
的	DEG
钢琴	NN
跟	CC
笛子	NN
老师	NN
我	PN
有	VE
打火机	NN
站好	VV
！	PU
就要	AD
拆掉了	NN
原来	AD
将来	NT
的	DEG
男生	NN
是	VC
这样	VA
！	PU
我	PN
希望	VV
她	PN
能够	VV
参加	VV
反正	AD
我	PN
问	VV
你	PN
什么	PN
，	PU
你	PN
都	AD
说	VV
是	VC
秘密	VA
小伦	NR
！	PU
…	PU
音乐	NN
抱	VV
一	CD
堆	M
苹果	NN
来	VV
学校	NN
，	PU
你	PN
又	AD
不	AD
来	VV
上课	VV
好啦	VA
，	PU
不	AD
知道	VV
就算啰	NN
！	PU
吃	VV
，	PU
啊	SP
，	PU
跳舞	VV
就	AD
不	AD
会	VV
放屁	VV
，	PU
而且	AD
呢	SP
CD	NN
又	AD
乱放	VV
！	PU
我	PN
又	AD
害	VV
你	PN
失败了	VV
我们	PN
可以	VV
运用	VV
不同	JJ
的	DEG
乐器	NN
跟你	NN
跳舞	VV
？	PU
97，98，99	NT
，	PU
100	CD
，	PU
101	CD
因为	P
要	VV
第一	OD
眼	NN
看到	VV
他	PN
好好	AD
吃喔	VV
终于	AD
要	VV
弹	VV
给	VV
我	PN
听喔	VV
？	PU
你	PN
很	AD
无聊	VA
没关系	VV
，	PU
我	PN
自己	PN
进去	VV
看	VV
就	AD
可以	VV
了	SP
又	AD
想	VV
吓	VV
我	PN
你	PN
真的	AD
要	VV
教	VV
我	PN
喔	SP
？	PU
我	PN
去	VV
叫	VV
她	PN
谢谢	VV
，	PU
谢谢	VV
没	VE
问题	NN
男子汉	NN
不	AD
玩	VV
这	DT
种	M
娘娘腔	NN
的	DEG
游戏	NN
的	SP
啦	SP
好	JJ
东西	NN
喔	SP
！	PU
当然	AD
不	AD
是	VC
现在	NT
啦	SP
因为	P
他	PN
在	P
六	CD
岁	M
的	DEC
时候	NN
，	PU
开始	VV
学琴	VV
你	PN
有	VE
什么	PN
不	AD
开心	VV
？	PU
很	AD
精彩	VA
的	DEV
完成	VV
了	AS
一	CD
首	M
协奏曲	NN
好嘛	VA
应该	VV
好好	AD
的	DEV
照顾	VV
她	PN
啊	SP
，	PU
知道	VV
吗	SP
？	PU
小心	AD
别	AD
爱上	VV
我	PN
（	PU
不管	CS
我们	PN
会	VV
不	AD
会	VV
见面	VV
）	PU
我	PN
不	AD
在	VV
学校	NN
的	DEC
时候	NN
回去	VV
扫	VV
你	PN
的	DEG
垃圾	NN
！	PU
我	PN
是	VC
阿宝	NN
，	PU
他	PN
是	VC
阿郎	NR
以后	AD
有	VE
什么	DT
事情	NN
的话	SP
，	PU
不	AD
开心	VA
的	SP
这	PN
很	AD
正常	VA
啊	SP
没事	VV
就	AD
多	CD
来	LC
练练	VV
琴吧	NN
小心	AD
别	AD
爱上	VV
我	PN
我们	PN
来	VV
想想	VV
毕业	NN
典礼	NN
要	VV
干嘛	VV
吧	SP
？	PU
什么	PN
？	PU
你	PN
就	AD
好好	AD
珍惜	VV
和	P
我	PN
在一起	VV
的	DEC
时候	NN
当然	AD
当	P
旅途	NN
走到	VV
了	AS
末路	NN
时	LC
说	VV
什么	DT
学	VV
音乐	NN
的	DEC
女孩	NN
，	PU
会	VV
有	VE
气质	NN
这里	PN
是	VC
学校	NN
，	PU
不	AD
是	VC
让	VV
你	PN
泡妞	VV
的	DEC
地方	NN
古典乐	NR
进展	NN
的	DEG
很慢	NN
苹果	NN
！	PU
而	AD
胸膛	NN
留给	VV
女孩	NN
哭泣	VV
毕业	VV
那	PN
天啊	IJ
因为	P
要	VV
盖	VV
新	VA
的	DEC
琴房	NN
大楼	NN
啊	SP
你	PN
很	AD
特别	VA
，	PU
我	PN
却	AD
很	AD
普通	VA
你	PN
昨天	NT
为什么	AD
比赛	VV
啊	SP
？	PU
你	PN
看	VV
！	PU
我	PN
坚持	VV
男子	NN
汉	NR
的	DEG
步履	NN
有	VE
烟	NN
吗	SP
？	PU
这	DT
种	M
男生	NN
不	AD
值得	VV
你	PN
去	VV
想他	VV
那个	DT
你	PN
不	AD
觉得	VV
旧琴	NN
很	AD
难	VA
弹	VV
吗	SP
？	PU
不好意思	VV
男子汉	NN
火辣辣	VA
的	DEC
感情	NN
没有	VE
啦	SP
，	PU
我	PN
是	VC
来	VV
找	VV
小伦的	NN
你	PN
这样	AD
太	AD
明显	VA
了	SP
，	PU
已经	AD
不	AD
是	VC
在	AD
偷听	VV
了	SP
用	P
钢铁	NN
般	VA
的	DEC
意志	NN
杀敌	VV
你	PN
叫	VV
什么	DT
名字	NN
啊	SP
？	PU
什么	PN
？	PU
刚刚	AD
CD	NN
会	VV
乱放	VV
吗	SP
？	PU
老师	NN
已经	AD
很	AD
累了	VV
可惜	AD
她	PN
经常	AD
胡思乱想	VV
…	PU
会	VV
啊	SP
，	PU
十五	CD
个	M
只是	AD
觉得	VV
蛮	AD
好听	VA
的	SP
等下	AD
没	VE
课	NN
喔	SP
？	PU
小雨	NN
跑	VV
了	AS
，	PU
小雨	NN
弹回	VV
去了	VV
搞定	VV
啦	SP
，	PU
没人	NN
啦	SP
！	PU
是吗	NN
？	PU
哦	IJ
，	PU
没有	VE
男朋友	NN
什么	DT
说话	VV
算话	NN
？	PU
阿义	NR
，	PU
阿义	NR
，	PU
快	VA
一点	AD
啦	SP
，	PU
老板	NN
在	P
叫	VV
！	PU
还	AD
蛮	AD
好看	VA
的	SP
，	PU
男朋友	NN
送	VV
的	SP
吗	SP
？	PU
大老远	AD
就	AD
听见	VV
你	PN
的	DEG
声音	NN
那个	DT
不管了	NN
！	PU
因为	P
这样	JJ
另外	DT
一	CD
只	M
手	NN
才	AD
可以	VV
牵	VV
你	PN
啊	SP
我	PN
找	VV
路	NN
小雨	NN
走	VV
！	PU
看著	VV
这些	DT
优秀	JJ
的	DEG
毕业生	NN
我	PN
是	VC
叫	VV
你	PN
一起	AD
来	VV
，	PU
不	AD
是	VC
站	VV
起来	VV
！	PU
（	PU
张	NR
启发	VV
精神病	NN
诊疗所	NN
）	PU
对啊	NN
等	P
会儿	NN
表演	NN
结束	VV
还给	VV
你	PN
慢	VA
骑	VV
喔	SP
，	PU
拜拜	NN
如果	CS
你	PN
有	VE
把	BA
我	PN
当	VV
朋友	NN
的	DEG
话	NN
对	VA
嘛	SP
！	PU
谁	PN
啊	SP
？	PU
现在	NT
啊	SP
？	PU
要	VV
当	VV
一	CD
个	M
普通	JJ
的	DEG
人	NN
如果	CS
只	AD
求出	VV
一	CD
个	M
的话	SP
呢	SP
超	VV
饿	VV
的	SP
可以	VV
啊	SP
，	PU
来	MSP
啊	SP
，	PU
你	PN
很	AD
爱	VV
学人	NN
小雨	NN
要是	CS
知道	VV
，	PU
一定	AD
会	VV
很	AD
开心	VA
的	SP
！	PU
在	P
教室	NN
等我	VV
谁	PN
说	VV
可以	VV
在	P
这边	PN
吃饭	VV
？	PU
哈	IJ
啰	VA
小雨	NN
跑	VV
走了	NN
你	PN
不	AD
去	VV
我	PN
载晴依	VV
去啰	VV
你	PN
今天	NT
弹	VV
的	DEC
那	DT
首	M
曲子	NN
是	VC
什么	PN
名字	NN
新	JJ
同学	NN
，	PU
你	PN
刚刚	AD
听	VV
仔细	VA
了	AS
吧	SP
？	PU
可以	VV
啊	SP
老师	NN
，	PU
你	PN
相信	VV
我	PN
吗	SP
？	PU
神经病	NN
！	PU
（	PU
张	NR
启发	VV
精神病	NN
诊疗所	NN
）	PU
我	PN
还没	AD
找	VV
你	PN
算帐	VV
，	PU
抢	VV
我	PN
锋头	NN
！	PU
没	VE
事	NN
了	SP
新	JJ
同学	NN
就	AD
舞会	NN
跟我	VV
跳舞	VV
的	DEC
那个	PN
啊	SP
你	PN
在	AD
干	VV
什么	PN
？	PU
这些	DT
时间	NN
对	P
我	PN
来说	LC
，	PU
得来	VV
不易	VA
真的	AD
会	VV
带来	VV
好运	NN
！	PU
今天	NT
呢	SP
，	PU
我们	PN
新	AD
同学	NN
要	VV
挑战	VV
雨	NN
豪	VA
我	PN
会	VV
为	P
你	PN
演奏	VV
有	VE
烟	NN
的	DEC
朋友	NN
？	PU
真的	VA
吗	SP
？	PU
跟我	NN
想像	NN
的	DEG
不一样	JJ
！	PU
为什么	AD
称	VV
他	PN
为	VC
天才型	JJ
的	DEG
音乐家	NN
呢	SP
我	PN
明明	AD
听见	VV
四	CD
手联弹	NN
数过	VV
从	P
琴房	NN
到	P
教室	NN
，	PU
总共	AD
一百零八	CD
步	M
有	VE
什么	DT
好看	VA
的	SP
啊	SP
？	PU
有	VE
一	CD
天	M
…	PU
晴依	VV
，	PU
走啰	NN
你	PN
为什么	AD
会	VV
有	VE
烟呢	NN
？	PU
别	AD
按	VV
了	SP
！	PU
你	PN
好像	AD
很少	AD
朋友	NN
喔	SP
？	PU
我	PN
不	AD
能	VV
受	VV
太	AD
大	VA
的	DEC
刺激	NN
啊	SP
机器	NN
进来	VV
！	PU
刚学	NN
你	PN
可不可以	VV
不	AD
要	VV
吵	VV
？	PU
这	DT
事情	NN
，	PU
不要	AD
告诉	VV
别的	DT
同学	NN
啊	SP
！	PU
你们	PN
不	AD
要	VV
再	AD
欺负	VV
小雨	NN
！	PU
问	VV
一	CD
个	M
问题	NN
喔	SP
所以	AD
我	PN
把	BA
琴房	NN
到	VV
教室	NN
的	DEG
距离	NN
算	VV
过	AS
B	FW
，	PU
增	VV
二度	NN
最后	AD
还是	AD
分开了	VV
有	VE
啦	SP
，	PU
想	VV
问你	VV
会吗	NN
？	PU
这	PN
有	VE
什么	DT
好	JJ
秘密	NN
的	SP
？	PU
不要	AD
在	P
旧	JJ
琴房	NN
弹	VV
这	DT
首	M
曲子	NN
好	VA
，	PU
加油	VV
！	PU
我家	NN
？	PU
如果	CS
让	VV
我	PN
碰到	VV
他	PN
的	DEG
话	NN
你	PN
现在	NT
可以	VV
告诉	VV
老师	NN
你	PN
为什么	AD
哭	VV
吗	SP
？	PU
屁啦	NN
，	PU
到底	AD
吃	VV
什么	PN
对	P
气管	NN
好啦	VA
？	PU
我	PN
明明	AD
听见	VV
四	CD
手联弹	NN
基本上	AD
过	VV
圆	NN
上	LC
一点	CD
切线	NN
好啊	VA
那	PN
是	VC
运动	NN
伤害	NN
的	DEG
一	CD
种	M
啦	SP
！	PU
今天	NT
好像	AD
有	VE
人	NN
没	AD
来	VV
上课	VV
喔	SP
什么	DT
钢琴	NN
王子	NN
啊	SP
？	PU
你	PN
懂	VV
不	AD
懂	VV
啊	SP
？	PU
哼	IJ
，	PU
好样	VA
的	SP
！	PU
你	PN
好像	AD
很	AD
喜欢	VV
从	P
背后	NN
吓人	VV
喔	SP
？	PU
阿万	NR
，	PU
那边	PN
检查	VV
过	VV
了	AS
没	AD
呀	SP
？	PU
我们	PN
斗琴	NR
大赛	NN
，	PU
正式	AD
开始	VV
小雨	NN
啊	SP
，	PU
是	VC
这样	VA
不要	AD
煮	VV
啦	SP
，	PU
今天	NT
放假	VV
你们	PN
学校	NN
不	AD
好吗	VV
？	PU
毕业	VV
那	PN
天啊	IJ
下	DT
次	M
弹	VV
给	P
我	PN
听	VV
好不好	NR
？	PU
我们	PN
请	VV
一	CD
位	M
元	M
主修	VV
音乐	NN
的	SP
没有	VE
一	CD
首	M
曲子	NN
是	VC
他	PN
不	AD
会	VV
弹	VV
的	SP
谢啦	NR
要	VV
我	PN
带	VV
你	PN
进去	VV
看	VV
一下	AD
吗	SP
？	PU
你们	PN
去	VV
打	VV
好了	NN
不好意思	VV
你	PN
很	AD
神秘	VA
下	DT
礼拜	NN
总	JJ
冠军	NN
，	PU
看	VV
你	PN
要	VV
不	AD
要	VV
过来	VV
看	VV
所以	AD
只有	AD
他	PN
看	VV
得	DER
到	VV
我	PN
都	AD
喜欢	VV
啊	SP
（	PU
不管	CS
你	PN
会	VV
不	AD
会	VV
忘	VV
了	AS
我	PN
）	PU
这样	AD
我	PN
很	AD
难	AD
记	VV
小雨	NN
，	PU
你	PN
看	VV
谁	PN
来	VV
了	SP
？	PU
她	PN
没有	AD
男朋友	NN
谢谢	VV
，	PU
我	PN
自已	PN
上去	VV
就	AD
可以	VV
了	SP
，	PU
谢谢	VV
小雨	NN
跑	VV
，	PU
小雨	NN
跑	VV
你	PN
叫	VV
什么	DT
名字	NN
啊	SP
？	PU
走啦	VV
调整	VV
好	VA
男子汉	NN
的	DEG
呼吸	NN
对啊	NN
没有	VE
？	PU
你	PN
看看	VV
你	PN
有	VE
多	AD
久	AD
没来	VV
上课	VV
了	SP
？	PU
没有	VE
啦	SP
，	PU
我	PN
爸	NN
叫我	VV
来的	VV
（	PU
一九九九年	NT
一月	NT
十八日	NT
）	PU
为什么	AD
会	VV
想要	VV
转来	VV
我们	PN
学校	NN
？	PU
是	VC
因为	P
这个	DT
学校	NN
需要	VV
我	PN
你	PN
看	VV
，	PU
琴弹	NN
的	DEG
好	NN
就	AD
没有	VE
关系	NN
你	PN
不	AD
要	VV
消失	VV
了	AS
好不好	NN
？	PU
我	PN
没	AD
胡思乱想	VV
啊	SP
他	PN
是	VC
谁	PN
啊	SP
？	PU
女生	NN
现在	NT
喜欢	VV
不	AD
男	JJ
不	AD
女的	NN
嘛	SP
？	PU
我	PN
每天	AD
这样	AD
好像	AD
神经病	NN
一样	VA
是	VC
天鹅	NN
，	PU
这	PN
很	AD
难找	VA
，	PU
我	PN
已经	AD
找	VV
很	AD
久了	VV
哇	IJ
，	PU
把	BA
黑键	NN
变白键	NN
毕业	NN
典礼	NN
上	LC
，	PU
我	PN
要	VV
为你	VV
演奏	VV
不要	AD
叫	VV
那么	AD
大声	VA
！	PU
你	PN
叫	VV
我们	PN
母女	NN
怎么办	VV
？	PU
（	PU
我	PN
只	AD
想	VV
告诉	VV
你	PN
一	CD
个	M
秘密	NN
）	PU
我	PN
知道	VV
就	AD
我	PN
跟	P
我	PN
爸啊	VV
想啊	VV
你	PN
不	AD
觉得	VV
这样	PN
很	AD
好吃	VA
吗	SP
？	PU
小雨	NN
啊	SP
可能	VV
你是	VV
我	PN
选择	VV
留级	VV
这	DT
条	M
辛苦	VA
而	CC
漫长	VA
的	DEC
道路	NN
阿郎阿宝	NR
！	PU
臭	JJ
男生	NN
！	PU
好	VA
漂亮	VA
喔	SP
都是你	NR
上课	VV
了	AS
，	PU
我	PN
下次	AD
再	AD
弹	VV
给	P
你	PN
听喔	VV
我	PN
等	VV
了	AS
好久	NN
了	SP
你	PN
不	AD
知道	VV
这样	PN
会	VV
得	DER
心脏病	NN
吗	SP
？	PU
我们	PN
出去	VV
吃	VV
，	PU
出去	VV
吃	VV
个	M
饭	NN
那	AD
我	PN
跟	P
你	PN
说	VV
一	CD
件	M
事	NN
，	PU
好	AD
不	AD
好	VA
？	PU
路	NN
小雨	NN
是	VC
音乐班	NN
3	OD
年级	NN
的	DEG
同学	NN
等一下	AD
可以	VV
骑	VV
脚踏车	NN
送	VV
我	PN
回家	VV
吗	SP
？	PU
是	VC
厉害	VA
！	PU
PUSH	NN
！	PU
拨	VV
一	CD
拨	M
男子汉	NN
的	DEG
发型	NN
他	PN
是	VC
队长	NN
，	PU
因为	P
比较	AD
老	VA
还	AD
好啊	VA
？	PU
哇	IJ
，	PU
你们好	NR
厉害	VV
喔	SP
还好	AD
，	PU
还好	AD
小雨	NN
？	PU
不用	AD
找了	VV
学	VV
弟	NN
学妹	NN
还	AD
真	AD
幸福	VA
她	PN
气喘	NN
发	VV
作在	VV
休息	VV
，	PU
不	AD
要	VV
来	VV
找	VV
她	PN
啦	SP
！	PU
被	SB
形容	VV
为	VC
流畅	VA
精致	VA
，	PU
优雅	VA
如	P
诗	NN
（	PU
我	PN
爱	VV
你	PN
）	PU
小雨	NN
，	PU
妈	NN
帮你	VV
倒水	NN
怎样	PN
？	PU
吓到	VV
你	PN
了	SP
吧	SP
？	PU
今天	NT
的	DEG
斗琴	NN
大赛	NN
实在	AD
是	VC
太	AD
精彩	VA
了	SP
你	PN
会	VV
不	AD
会	VV
喜欢	VV
别的	DT
女生	NN
啊	SP
？	PU
B	NN
记	VV
谱	VV
比实	NR
音高	JJ
大	JJ
六	CD
度	M
萧邦	NR
最爱	NN
的	DEG
女人	NN
，	PU
他们	PN
在	P
一起	AD
十年	NT
叶湘伦	NR
他们	PN
要	VV
开始	VV
了	SP
